County FIPS Code,Median Household Income,"Poverty Percent, All Ages","Percent of adults with a bachelor's degree or higher, 2012-2016",Alzheimer's Disease/Dementia,Arthritis,Asthma,Atrial Fibrillation,COPD,Cancer,Chronic Kidney Disease,Depression,Diabetes,Heart Failure,Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke,Tobacco Consumption,% Excessive drinking,Median Age ,% Obese Adults,CHD
153,35875,21.1,13.381,9.189,30.4348,2.9294,7.308,11.5942,8.2331,8.8807,10.9158,25.0385,14.0611,40.3947,55.7817,30.1264,3.9778,3.3611,2.6827,20,15,24,30,0
155,65902,8,29.864,9.2474,25.8182,4.1987,7.1543,11.907,8.203,12.6427,10.9683,24.3129,15.6364,49.5307,54.6004,33.4376,6.351,3.3404,3.6998,14,20,41,27,1
157,50681,13.7,15.347,11.5849,25.6589,3.0564,5.4905,14.3668,6.6801,13.7628,14.2753,27.3609,14.5864,44.1069,55.6918,29.0264,5.1245,4.1362,3.8982,16,20,32,30,0
159,46497,14.4,13.742,9.4525,23.0523,7.4809,6.7216,12.5136,8.0768,10.777,15.4045,23.4813,14.9312,37.2004,53.2246,31.0883,5.0054,3.8409,3.1667,17,18,36,28,1
161,50952,15.6,11.032,8.5266,23.5602,4.0389,6.3575,12.2663,6.7315,8.9005,9.1997,23.0366,15.632,34.6298,50.561,29.6933,3.1414,1.7951,3.7397,15,18,35,29,0
163,50598,15.4,14.398,7.9957,29.1045,4.4776,7.0362,12.7932,6.7164,9.0618,10.5544,23.3475,13.9659,44.7761,56.1834,32.7292,3.0917,3.1983,4.2644,16,18,40,32,0
165,40690,20.4,12.995,7.4449,25.2528,3.9982,7.0772,11.5809,9.1682,12.6149,10.2022,25.1838,17.9688,45.1746,60.1563,34.2142,5.1011,2.8493,4.205,18,18,28,33,1
167,55090,13.8,20.586,10.0676,30.411,3.8202,7.4116,13.7444,7.5789,16.892,12.9831,27.5024,16.8681,44.6675,62.2832,32.2477,5.8173,3.8645,4.421,16,21,26,30,0
169,49566,12.1,22.041,10.9026,30.0268,2.3235,8.7578,11.6175,8.4004,11.8856,15.0134,22.6095,17.605,48.9723,59.2493,27.7927,6.613,2.5022,3.664,16,19,25,29,0
171,52386,11.5,26.145,9.7399,20.6719,3.9556,6.692,9.767,6.6513,10.783,11.8396,23.2051,13.411,40.9239,52.032,24.4649,4.8632,3.793,3.942,16,19,20,32,1
173,51069,11.7,15.981,9.9382,28.1541,3.7363,8.3232,11.8418,9.0725,11.7811,12.0292,23.4457,15.9629,45.7523,54.8046,27.4959,5.9032,2.8048,4.116,15,19,28,30,1
175,56414,11.5,34.32,10.8547,27.9202,3.3903,5.9544,13.5043,6.6382,12.8205,14.245,23.8462,13.6752,39.8575,57.8632,28.2906,5.0142,7.208,3.5897,15,18,29,31,1
177,45863,15.4,18.893,8.5611,27.4493,3.1873,5.8111,13.4556,7.8126,10.5458,12.6314,25.1955,17.3577,38.5586,53.2588,26.7429,4.6674,3.305,3.8853,15,18,40,30,0
179,60590,8.8,12.095,8.9956,26.2009,2.5328,10.3493,13.8428,6.6376,8.5153,10.1747,26.2882,14.8035,37.3799,64.8035,29.6943,6.0699,3.4061,4.1048,14,20,22,33,0
181,45476,17.4,15.192,7.8315,32.412,3.5867,6.9102,13.6887,6.976,8.9503,10.8917,21.3886,18.1968,37.4465,52.7147,30.1744,4.9687,3.3564,4.2119,16,18,23,31,0
183,45247,20.2,16.722,12.2849,32.7731,2.7211,7.7231,13.0852,8.6435,12.485,12.445,24.6098,17.1669,41.0964,60.024,33.9736,8.1633,2.6411,4.3617,18,18,31,28,0
185,50195,13.5,17.863,9.5667,24.3675,2.6752,8.4036,14.0739,8.549,9.5086,10.2937,25.1527,16.9235,48.0663,62.1402,33.3527,5.2922,2.0936,4.2163,15,19,33,35,0
187,48346,13.6,25.011,11.5339,24.3559,2.6663,7.2798,14.0503,6.411,10.3954,10.9347,26.4829,15.009,43.9485,55.9916,27.5015,5.1827,3.3553,3.5351,16,18,34,32,1
189,58587,9.3,21.295,7.8645,22.9642,4.0266,7.3791,11.4237,6.9747,11.7113,11.8461,26.0201,14.5515,45.4251,52.8672,35.835,4.4131,3.3166,3.1727,15,20,29,31,1
191,45583,13.9,13.96,9.7446,28.302,4.2743,8.61,11.2949,8.2131,12.3307,11.1927,27.8727,17.8691,45.8781,57.6569,31.0874,6.9865,3.322,4.4396,16,19,31,29,1
193,44874,16.2,17.177,8.9403,27.1321,2.5805,6.9638,13.6622,7.284,15.7851,12.9392,25.9608,15.0348,40.6113,58.8214,33.7207,4.4747,3.6512,4.0355,15,19,38,29,1
195,51567,11.9,21.937,9.9771,26.1333,4.2109,6.7702,9.7791,6.7504,12.3215,12.9182,25.6186,14.8497,35.8757,47.0688,26.6056,5.4099,3.9931,3.9111,15,19,39,29,1
197,81640,7.2,20.874,10.2036,25.2166,2.773,8.7522,9.5104,9.1421,9.922,11.2002,23.2886,15.4463,42.2227,52.6863,28.8345,5.1776,3.4445,4.2461,14,23,38,29,1
199,48112,15.9,13.977,10.1863,27.0894,4.0099,7.0533,12.9992,7.5774,12.4986,12.824,26.4882,16.9652,39.7293,55.1599,30.7628,6.1099,4.3901,4.1704,16,19,37,28,1
201,50296,15.6,13.725,11.4743,26.9797,4.6759,6.4696,11.1998,7.1335,14.3723,14.3213,24.4103,15.3586,36.0218,52.6092,29.5139,6.8143,6.0675,4.1269,17,19,35,32,0
203,73055,6.6,17.268,9.303,26.3508,4.5467,7.4169,11.3349,6.205,12.2551,11.9909,24.2642,17.4032,35.1708,48.0547,24.738,3.918,4.1276,4.4556,15,21,37,34,0
